session_id,timestamp,t_sec,intensity,mvc_percent,rula_score,deltaE_work,E_fixed,E_recover,E_norm_fixed,E_norm_recover,fatigue_fixed,fatigue_recover,slope_5min_per_s,is_rest_like,subject
subj1_normal,2025-10-15 09:00:00,0,normal,8.38,1,0.0,0.0,0.0,0.0,0.0,low,low,,1,subj1
subj1_normal,2025-10-15 09:00:30,30,normal,11.29,1,0.0,0.0,0.0,0.0,0.0,low,low,,0,subj1
subj1_normal,2025-10-15 09:01:00,60,normal,12.0,2,0.0,0.0,0.0,0.0,0.0,low,low,,0,subj1
subj1_normal,2025-10-15 09:01:30,90,normal,8.02,1,0.0,0.0,0.0,0.0,0.0,low,low,,1,subj1
subj1_normal,2025-10-15 09:02:00,120,normal,11.81,1,0.0,0.0,0.0,0.0,0.0,low,low,,0,subj1
subj1_normal,2025-10-15 09:02:30,150,normal,7.8,1,0.0,0.0,0.0,0.0,0.0,low,low,,1,subj1
subj1_normal,2025-10-15 09:03:00,180,normal,13.66,2,0.0,0.0,0.0,0.0,0.0,low,low,,0,subj1
subj1_normal,2025-10-15 09:03:30,210,normal,11.93,1,0.0,0.0,0.0,0.0,0.0,low,low,,0,subj1
subj1_normal,2025-10-15 09:04:00,240,normal,10.09,2,0.0,0.0,0.0,0.0,0.0,low,low,,0,subj1
subj1_normal,2025-10-15 09:04:30,270,normal,8.17,2,0.0,0.0,0.0,0.0,0.0,low,low,0.0005,1,subj1
subj1_normal,2025-10-15 09:05:00,300,normal,12.59,2,0.0,0.0,0.0,0.0,0.0,low,low,0.0003,0,subj1
subj1_normal,2025-10-15 09:05:30,330,normal,12.48,3,0.0,0.0,0.0,0.0,0.0,low,low,0.0047,0,subj1
subj1_normal,2025-10-15 09:06:00,360,normal,8.55,1,0.0,0.0,0.0,0.0,0.0,low,low,0.003,1,subj1
subj1_normal,2025-10-15 09:06:30,390,normal,8.4,3,0.0,0.0,0.0,0.0,0.0,low,low,-0.0063,1,subj1
subj1_normal,2025-10-15 09:07:00,420,normal,13.99,3,0.0,0.0,0.0,0.0,0.0,low,low,0.0027,0,subj1
subj1_normal,2025-10-15 09:07:30,450,normal,9.11,3,0.0,0.0,0.0,0.0,0.0,low,low,-0.0069,1,subj1
subj1_normal,2025-10-15 09:08:00,480,normal,8.35,2,0.0,0.0,0.0,0.0,0.0,low,low,-0.0053,1,subj1
subj1_normal,2025-10-15 09:08:30,510,normal,8.36,1,0.0,0.0,0.0,0.0,0.0,low,low,-0.0055,1,subj1
subj1_normal,2025-10-15 09:09:00,540,normal,12.5,1,0.0,0.0,0.0,0.0,0.0,low,low,-0.0008,0,subj1
subj1_normal,2025-10-15 09:09:30,570,normal,7.76,1,0.0,0.0,0.0,0.0,0.0,low,low,-0.0099,1,subj1
subj1_normal,2025-10-15 09:10:00,600,normal,9.24,1,0.0,0.0,0.0,0.0,0.0,low,low,-0.0064,1,subj1
subj1_normal,2025-10-15 09:10:30,630,normal,10.06,2,0.0,0.0,0.0,0.0,0.0,low,low,-0.0003,0,subj1
subj1_normal,2025-10-15 09:11:00,660,normal,13.83,1,0.0,0.0,0.0,0.0,0.0,low,low,0.0049,0,subj1
subj1_normal,2025-10-15 09:11:30,690,normal,9.56,1,0.0,0.0,0.0,0.0,0.0,low,low,-0.0001,1,subj1
subj1_normal,2025-10-15 09:12:00,720,normal,14.4,3,0.0,0.0,0.0,0.0,0.0,low,low,0.0157,0,subj1
subj1_normal,2025-10-15 09:12:30,750,normal,13.59,1,0.0,0.0,0.0,0.0,0.0,low,low,0.0189,0,subj1
subj1_normal,2025-10-15 09:13:00,780,normal,14.93,2,0.0,0.0,0.0,0.0,0.0,low,low,0.0211,0,subj1
subj1_normal,2025-10-15 09:13:30,810,normal,11.51,2,0.0,0.0,0.0,0.0,0.0,low,low,0.0145,0,subj1
subj1_normal,2025-10-15 09:14:00,840,normal,12.86,1,0.0,0.0,0.0,0.0,0.0,low,low,0.0182,0,subj1
subj1_normal,2025-10-15 09:14:30,870,normal,11.54,3,0.0,0.0,0.0,0.0,0.0,low,low,0.0089,0,subj1
